eplenmean,eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
128.2,0.0,534,0.0014629059,0.064086914,1.3847591,-0.0018461777,1.2914157,-0.5161199569702148,1,128,3.833722,2048
158.5625,0.75,1089,0.002194137,0.07873535,1.3820388,-0.0012875524,0.15302962,0.0005257725715637207,2,256,5.7135242,4096
169.21428571428572,1.0,1108,0.0015510025,0.0625,1.3833305,-0.0012930261,0.038396202,-0.007444620132446289,3,384,7.560853400000001,6144
172.6829268292683,1.1219512195121952,1044,0.0013319938,0.036376953,1.3818927,-0.0014516945,0.031555023,0.027778148651123047,4,512,9.5228108,8192
173.58490566037736,1.1320754716981132,1075,0.0015199793,0.096069336,1.3717146,-0.0018519824,0.035797987,0.11806666851043701,5,640,11.4272871,10240
175.87692307692308,1.1538461538461537,1052,0.0010658222,0.06347656,1.3726133,-0.0015978582,0.039501738,0.12458312511444092,6,768,13.373240399999998,12288
179.14285714285714,1.2337662337662338,1063,0.0014285713,0.060546875,1.365308,-0.0019135573,0.044826023,0.062080204486846924,7,896,15.298612400000001,14336
179.13333333333333,1.2444444444444445,1041,0.00033867604,0.001953125,1.3672171,-0.00037855384,0.040768195,0.19249188899993896,8,1024,17.265926900000004,16384
181.46,1.34,1023,0.001068551,0.05517578,1.3694799,-0.0016687975,0.028057761,0.33365172147750854,9,1152,19.267161,18432
182.28,1.36,1071,0.0010481856,0.061035156,1.3631601,-0.0011431964,0.036248367,0.2657807469367981,10,1280,21.1794157,20480
181.74,1.35,1077,0.0007159347,0.017089844,1.3667748,-0.00077572954,0.037176494,0.2886580228805542,11,1408,23.080303,22528
179.2,1.29,1046,0.0030158765,0.16821289,1.3446897,-0.0035047247,0.026759667,0.4638603925704956,12,1536,25.037701400000003,24576
186.46,1.47,1144,0.0010971159,0.041748047,1.3443753,-0.0016238318,0.039282322,0.4692617654800415,13,1664,26.827112900000003,26624
189.35,1.56,1201,0.001741419,0.06298828,1.316587,-0.0014085309,0.026692174,0.5891882479190826,14,1792,28.531333700000005,28672
198.5,1.84,992,0.0016578292,0.107177734,1.3310933,-0.0012820378,0.027795084,0.5723939538002014,15,1920,30.59592,30720
193.31,1.71,1117,0.0021232173,0.12561035,1.3171979,-0.0025904817,0.021987407,0.690566897392273,16,2048,32.428848200000004,32768
195.66,1.78,1094,0.0021782562,0.14648438,1.2932855,-0.0020276683,0.024183733,0.6588478088378906,17,2176,34.300412800000004,34816
198.42,1.85,1068,0.0025668463,0.2084961,1.269212,-0.0022855466,0.017833356,0.7666432708501816,18,2304,36.217048600000005,36864
198.63,1.88,1119,0.0019290796,0.1159668,1.2677268,-0.0021954817,0.017466245,0.7653480470180511,19,2432,38.046932000000005,38912
204.07,2.02,1006,0.002326064,0.059936523,1.224842,-0.00068829925,0.017265508,0.8071698397397995,20,2560,40.0814837,40960
204.41,2.02,1099,0.0025325657,0.21557617,1.2089864,-7.963748e-05,0.01770277,0.8270623236894608,21,2688,41.943859100000005,43008
202.9,1.96,1113,0.002320045,0.18371582,1.1821774,-0.0027051854,0.018213589,0.8471297174692154,22,2816,43.7834822,45056
197.59,1.81,935,0.0017670393,0.080566406,1.2010428,-0.0021761828,0.01314538,0.8435551971197128,23,2944,45.9724023,47104
194.98,1.75,1050,0.0009438243,0.015014648,1.2160279,-0.00036276996,0.011786206,0.8820707201957703,24,3072,47.9217788,49152
199.0,1.81,1054,0.0016311124,0.052856445,1.1589788,-0.0013710838,0.0118698655,0.8813372701406479,25,3200,49.8637565,51200
204.0,1.95,1069,0.0022483873,0.1430664,1.2081908,-0.0024671403,0.008873007,0.9137060642242432,26,3328,51.778934500000005,53248
