timestep,ent,vf_loss,gradnorm,re,approxkl,clipfrac,ev,mean_rew
2048.0,1.3862934112548828,0.01890372671186924,1.345162034034729,0.030653085559606552,2.4731605652306143e-13,0.0,-0.11426615715026855,0.0
2048.0,1.3861134052276611,0.1709476262331009,5.890196323394775,0.028960159048438072,0.00020199091522954404,0.0,-0.11426615715026855,0.0
2048.0,1.385797381401062,0.13396167755126953,4.822831153869629,0.030414443463087082,0.000526989926584065,0.0,-0.11426615715026855,0.0
2048.0,1.385399341583252,0.035438261926174164,1.9644486904144287,0.026687318459153175,0.0009387611062265933,0.0,-0.11426615715026855,0.0
2048.0,1.3849875926971436,0.036072250455617905,2.0479416847229004,0.036185041069984436,0.0013536547776311636,0.0,-0.11426615715026855,0.0
2048.0,1.3844984769821167,0.057399190962314606,2.734651803970337,0.023821324110031128,0.001861018594354391,0.0,-0.11426615715026855,0.0
2048.0,1.3841009140014648,0.03775639832019806,2.06170916557312,0.01991630718111992,0.0022875864524394274,0.0,-0.11426615715026855,0.0
2048.0,1.383614182472229,0.015848834067583084,0.7054772973060608,0.0367923341691494,0.002810681238770485,0.0,-0.11426615715026855,0.0
2048.0,1.383077621459961,0.02821524441242218,1.2924134731292725,0.02408287301659584,0.003350794780999422,0.01953125,-0.11426615715026855,0.0
2048.0,1.3824920654296875,0.04453662410378456,1.856688141822815,0.03241045027971268,0.003978494089096785,0.46484375,-0.11426615715026855,0.0
2048.0,1.3826192617416382,0.041211001574993134,1.5876966714859009,0.03694787621498108,0.0038304273039102554,0.466796875,-0.11426615715026855,0.0
2048.0,1.382918119430542,0.02332407236099243,1.0088815689086914,0.023273810744285583,0.003420360619202256,0.22265625,-0.11426615715026855,0.0
2048.0,1.3833063840866089,0.014657780528068542,0.23973138630390167,0.03768753260374069,0.0031310978811234236,0.0,-0.11426615715026855,0.0
2048.0,1.3835171461105347,0.024372246116399765,1.0726741552352905,0.022870611399412155,0.002874977421015501,0.0,-0.11426615715026855,0.0
2048.0,1.38362455368042,0.032548218965530396,1.2855862379074097,0.028980813920497894,0.0027254498563706875,0.0,-0.11426615715026855,0.0
2048.0,1.3837701082229614,0.024200599640607834,1.013318419456482,0.02717605046927929,0.002634770702570677,0.0,-0.11426615715026855,0.0
4096.0,1.3838709592819214,0.011151700280606747,0.45659422874450684,0.021377205848693848,8.675005158664817e-13,0.0,-0.0005241632461547852,1.1538461538461537
4096.0,1.3840241432189941,0.009213132783770561,0.36007311940193176,0.020795423537492752,5.437131676444551e-06,0.0,-0.0005241632461547852,1.1538461538461537
4096.0,1.3842389583587646,0.015872113406658173,0.6374883055686951,0.01814006268978119,2.2919064576853998e-05,0.0,-0.0005241632461547852,1.1538461538461537
4096.0,1.3844165802001953,0.014601212926208973,0.5786358118057251,0.024692410603165627,4.917024489259347e-05,0.0,-0.0005241632461547852,1.1538461538461537
4096.0,1.3846594095230103,0.00857988465577364,0.3401281237602234,0.01484370231628418,9.994722495321184e-05,0.0,-0.0005241632461547852,1.1538461538461537
4096.0,1.3848848342895508,0.009804959408938885,0.29681092500686646,0.022400954738259315,0.00015075012925080955,0.0,-0.0005241632461547852,1.1538461538461537
4096.0,1.3851211071014404,0.011729905381798744,0.4257662296295166,0.023430779576301575,0.0002567938936408609,0.0,-0.0005241632461547852,1.1538461538461537
4096.0,1.3853557109832764,0.011381619609892368,0.4071827232837677,0.024329669773578644,0.00039902879507280886,0.0,-0.0005241632461547852,1.1538461538461537
4096.0,1.385529637336731,0.009101442992687225,0.2275783121585846,0.021583862602710724,0.0005437409854494035,0.0,-0.0005241632461547852,1.1538461538461537
4096.0,1.3856877088546753,0.008610320277512074,0.12556642293930054,0.025160981342196465,0.0007124619442038238,0.0,-0.0005241632461547852,1.1538461538461537
4096.0,1.3858109712600708,0.007499800994992256,0.2916339933872223,0.008844232186675072,0.0008651067037135363,0.0,-0.0005241632461547852,1.1538461538461537
4096.0,1.3858964443206787,0.010856294073164463,0.2618374526500702,0.029416028410196304,0.000999710289761424,0.0,-0.0005241632461547852,1.1538461538461537
4096.0,1.3859729766845703,0.00843152217566967,0.21349722146987915,0.018853630870580673,0.0012348673772066832,0.0,-0.0005241632461547852,1.1538461538461537
4096.0,1.3860464096069336,0.009088238701224327,0.11648836731910706,0.02665260247886181,0.0014052499318495393,0.0,-0.0005241632461547852,1.1538461538461537
4096.0,1.3860969543457031,0.01017728541046381,0.18200086057186127,0.030864670872688293,0.001569488551467657,0.0,-0.0005241632461547852,1.1538461538461537
4096.0,1.3861333131790161,0.005963577888906002,0.18572014570236206,0.008634200319647789,0.0017945748986676335,0.0,-0.0005241632461547852,1.1538461538461537
6144.0,1.386147141456604,0.014288490638136864,0.2634265422821045,0.07306563854217529,4.649058915617843e-15,0.0,-0.005094408988952637,1.1428571428571428
6144.0,1.3861474990844727,0.008707478642463684,0.1211649477481842,0.051804400980472565,4.560917659546249e-06,0.0,-0.005094408988952637,1.1428571428571428
6144.0,1.3861370086669922,0.01284986361861229,0.10093839466571808,0.07303143292665482,1.4050354366190732e-05,0.0,-0.005094408988952637,1.1428571428571428
6144.0,1.3861125707626343,0.01162591390311718,0.22580453753471375,0.06500614434480667,2.7033127480535768e-05,0.0,-0.005094408988952637,1.1428571428571428
6144.0,1.38608717918396,0.013720247894525528,0.2577557861804962,0.07574079930782318,4.4267162593314424e-05,0.0,-0.005094408988952637,1.1428571428571428
